w_signal	w_4b_cut	seed	signal_ratio	n_3b
0.007026737	0.05	0	0.01	100000
0.022399707	0.1	0	0.01	100000
0.053309225	0.15000000000000002	0	0.01	100000
0.0774024	0.2	0	0.01	100000
0.1616066	0.25	0	0.01	100000
0.24575128	0.3	0	0.01	100000
0.30006993	0.35000000000000003	0	0.01	100000
0.38970077	0.4	0	0.01	100000
0.47234008	0.45	0	0.01	100000
0.58375555	0.5	0	0.01	100000
0.65028244	0.55	0	0.01	100000
0.7604798	0.6000000000000001	0	0.01	100000
0.79687476	0.6500000000000001	0	0.01	100000
0.8331642	0.7000000000000001	0	0.01	100000
0.87660843	0.7500000000000001	0	0.01	100000
0.935456	0.8	0	0.01	100000
0.97887945	0.8500000000000001	0	0.01	100000
0.992912	0.9000000000000001	0	0.01	100000
1.0	0.9500000000000001	0	0.01	100000
0.056496613	0.05	0	0.02	100000
0.14080906	0.1	0	0.02	100000
0.21329299	0.15000000000000002	0	0.02	100000
0.27318323	0.2	0	0.02	100000
0.36641023	0.25	0	0.02	100000
0.41786402	0.3	0	0.02	100000
0.4705602	0.35000000000000003	0	0.02	100000
0.5303526	0.4	0	0.02	100000
0.58590907	0.45	0	0.02	100000
0.6523218	0.5	0	0.02	100000
0.71292216	0.55	0	0.02	100000
0.7839594	0.6000000000000001	0	0.02	100000
0.82754993	0.6500000000000001	0	0.02	100000
0.8782515	0.7000000000000001	0	0.02	100000
0.90677375	0.7500000000000001	0	0.02	100000
0.9529158	0.8	0	0.02	100000
0.9738156	0.8500000000000001	0	0.02	100000
0.9870849	0.9000000000000001	0	0.02	100000
0.99045056	0.9500000000000001	0	0.02	100000
0.039662622	0.05	0	0.03	100000
0.076497585	0.1	0	0.03	100000
0.13360001	0.15000000000000002	0	0.03	100000
0.20315287	0.2	0	0.03	100000
0.28864628	0.25	0	0.03	100000
0.3707228	0.3	0	0.03	100000
0.43212393	0.35000000000000003	0	0.03	100000
0.49530154	0.4	0	0.03	100000
0.54074687	0.45	0	0.03	100000
0.6392184	0.5	0	0.03	100000
0.69699734	0.55	0	0.03	100000
0.75944287	0.6000000000000001	0	0.03	100000
0.8221361	0.6500000000000001	0	0.03	100000
0.88104177	0.7000000000000001	0	0.03	100000
0.92306805	0.7500000000000001	0	0.03	100000
0.9553656	0.8	0	0.03	100000
0.9767977	0.8500000000000001	0	0.03	100000
0.9910209	0.9000000000000001	0	0.03	100000
1.0000001	0.9500000000000001	0	0.03	100000
0.321052	0.05	0	0.04	100000
0.46576753	0.1	0	0.04	100000
0.5731124	0.15000000000000002	0	0.04	100000
0.6340622	0.2	0	0.04	100000
0.67455214	0.25	0	0.04	100000
0.71957374	0.3	0	0.04	100000
0.7608747	0.35000000000000003	0	0.04	100000
0.80641294	0.4	0	0.04	100000
0.8343273	0.45	0	0.04	100000
0.85403126	0.5	0	0.04	100000
0.8734918	0.55	0	0.04	100000
0.89854914	0.6000000000000001	0	0.04	100000
0.9199522	0.6500000000000001	0	0.04	100000
0.9313258	0.7000000000000001	0	0.04	100000
0.95217794	0.7500000000000001	0	0.04	100000
0.97919	0.8	0	0.04	100000
0.99812984	0.8500000000000001	0	0.04	100000
1.0000004	0.9000000000000001	0	0.04	100000
1.0000004	0.9500000000000001	0	0.04	100000
0.20468323	0.05	0	0.05	100000
0.34217656	0.1	0	0.05	100000
0.4555661	0.15000000000000002	0	0.05	100000
0.56063116	0.2	0	0.05	100000
0.6292342	0.25	0	0.05	100000
0.6855036	0.3	0	0.05	100000
0.73306113	0.35000000000000003	0	0.05	100000
0.78002065	0.4	0	0.05	100000
0.8252903	0.45	0	0.05	100000
0.84907264	0.5	0	0.05	100000
0.874586	0.55	0	0.05	100000
0.8982684	0.6000000000000001	0	0.05	100000
0.9217278	0.6500000000000001	0	0.05	100000
0.9392576	0.7000000000000001	0	0.05	100000
0.9552436	0.7500000000000001	0	0.05	100000
0.96846384	0.8	0	0.05	100000
0.9830212	0.8500000000000001	0	0.05	100000
0.9931396	0.9000000000000001	0	0.05	100000
0.99999946	0.9500000000000001	0	0.05	100000
0.008359222	0.05	1	0.01	100000
0.084509164	0.1	1	0.01	100000
0.134921	0.15000000000000002	1	0.01	100000
0.16851394	0.2	1	0.01	100000
0.25988364	0.25	1	0.01	100000
0.3252114	0.3	1	0.01	100000
0.43996733	0.35000000000000003	1	0.01	100000
0.51307595	0.4	1	0.01	100000
0.56136405	0.45	1	0.01	100000
0.59248817	0.5	1	0.01	100000
0.65568	0.55	1	0.01	100000
0.72511774	0.6000000000000001	1	0.01	100000
0.7726125	0.6500000000000001	1	0.01	100000
0.8360747	0.7000000000000001	1	0.01	100000
0.86782354	0.7500000000000001	1	0.01	100000
0.8913229	0.8	1	0.01	100000
